ID,ACTIVE_LABEL,SMILES,SOL_CD73_INHIB_PERCENT_5uM,SOL_CD73_INHIB_PERCENT_5uM_SD,CELL_CD_73_INHIB_PERCENT_100uM,CELL_CD_73_INHIB_PERCENT_100uM_SD,KI_uM,KI_uM_SD,NOTE
3ad_Grossjean_2025,False,N#CC1=C(C(F)(F)F)C=C(C2=CC=CC=C2)N=C1SCC(NC3=CC=CC=C3)=O,16,4,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3af_Grossjean_2025,True,N#CC1=C(C(F)(F)F)C=C(C2=CC=CC=C2)N=C1SCC(NC3=CN=CC=C3)=O,40,12,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3ag_Grossjean_2025,True,N#CC1=C(C(F)(F)F)C=C(C2=CC=CC=C2)N=C1SCC(NCC3=CC=CC=C3)=O,30,15,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3ai_Grossjean_2025,False,N#CC1=C(C(F)(F)F)C=C(C2=CC=CC=C2)N=C1SCC(NC3=NOC=C3)=O,17,4,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3aj_Grossjean_2025,False,N#CC1=C(C(F)(F)F)C=C(C2=CC=CC=C2)N=C1SCC(NC3=NC=CS3)=O,14,9,22,3,NA,NA,NA
3ak_Grossjean_2025,False,COCCOCCOCCNC(CSC1=NC(C2=CC=CC=C2)=CC(C(F)(F)F)=C1C#N)=O,-20,9,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3ca_Grossjean_2025,True,CC1=CC(C2=CC=CC=C2)=C(C#N)C(SCC(NC3=CC=C(C(OCC)=O)C=C3)=O)=N1,56,11,26,6,NA,NA,NA
3cb_Grossjean_2025,False,CC1=CC(C2=CC=CC=C2)=C(C#N)C(SCC(NC3=CC=C(C(OC)=O)C=C3)=O)=N1,17,4,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3ch_Grossjean_2025,False,CC1=CC(C2=CC=CC=C2)=C(C#N)C(SCC(NC3=CC(OC)=C(OC)C(OC)=C3)=O)=N1,29,11,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3ce_Grossjean_2025,True,CC1=CC(C2=CC=CC=C2)=C(C#N)C(SCC(NC3=NC(C)=CC=C3)=O)=N1,98,3,27,9,NA,NA,NA
3cj_Grossjean_2025,True,CC1=CC(C2=CC=CC=C2)=C(C#N)C(SCC(NC3=NC=CS3)=O)=N1,91,6,26,8,NA,NA,NA
3ci_Grossjean_2025,False,CC1=CC(C2=CC=CC=C2)=C(C#N)C(SCC(NC3=NOC=C3)=O)=N1,4,1,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3ck_Grossjean_2025,False,N#CC1=C(C2=CC=CC=C2)C=C(C)N=C1SCC(NCCOCCOCCOC)=O,13,7,8,9,NA,NA,NA
4aa_Grossjean_2025,False,O=C(NC1=CC=C(C(OCC)=O)C=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-57,6,-29,7,NA,NA,NA
4ab_Grossjean_2025,False,O=C(NC1=CC=C(C(OC)=O)C=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-32,5,44,7,NA,NA,NA
4ac_Grossjean_2025,False,O=C(NC1=CC=C(OC)C=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-3,2,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4ad_Grossjean_2025,False,O=C(NC1=CC=CC=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,17,4,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4ae_Grossjean_2025,False,O=C(NC1=NC(C)=CC=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-21,8,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4af_Grossjean_2025,False,O=C(NC1=CN=CC=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-23,4,16,6,NA,NA,NA
4ag_Grossjean_2025,False,O=C(NCC1=CC=CC=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-22,6,5,6,NA,NA,NA
4ah_Grossjean_2025,False,O=C(NCC1=CC(OC)=C(OC)C(OC)=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-23,8,-9,14,NA,NA,NA
4ai_Grossjean_2025,False,O=C(NC1=NOC=C1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-20,9,46,4,NA,NA,NA
4aj_Grossjean_2025,False,O=C(NC1=NC=CS1)C2=C(N)C3=C(C)C=C(C)N=C3S2,-10,4,-1,3,NA,NA,NA
4ak_Grossjean_2025,False,O=C(NCCOCCOCCOC)C1=C(N)C2=C(C)C=C(C)N=C2S1,-1,9,-3,7,NA,NA,NA
4al_Grossjean_2025,False,O=C(OC)C1=C(N)C2=C(C)C=C(C)N=C2S1,6,2,38,7,NA,NA,NA
4ba_Grossjean_2025,True,O=C(NC1=CC=C(C(CC)=O)C=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,41,3,2,2,NA,NA,NA
4bb_Grossjean_2025,True,O=C(NC1=CC=C(C(C)=O)C=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,47,7,11,6,NA,NA,NA
4bc_Grossjean_2025,False,O=C(NC1=CC=C(OC)C=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,23,9,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4bd_Grossjean_2025,True,O=C(NC1=CC=CC=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,58,4,19,5,NA,NA,NA
4be_Grossjean_2025,True,O=C(NC1=NC(C)=CC=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,32,4,33,9,NA,NA,NA
4bf_Grossjean_2025,False,O=C(NC1=CN=CC=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,0,8,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4bg_Grossjean_2025,True,O=C(NCC1=CC=CC=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,30,13,22,7,NA,NA,NA
